ID,EC,OM,BD,P,SAND,SILT,CLAY,N,K,Ca,Mg,Na,CEC,SAR,ESP,Class.pH
1245,0.4,14.1,1,3.1,26.2,34,39.8,0.1,1.4,2.7,2.9,0.2,15.4,0.1,0,Moderately acidic
1246,0.7,20.8,0.8,1.1,15.5,15.3,69.2,0.1,1.1,1.2,3.4,0.1,31.8,0,0,Neutral
1247,0.2,9.4,1,1.1,15.5,25.3,59.2,0.2,2.3,22.9,3.3,0.4,25.6,0,0,Moderately acidic
1248,0.1,7.1,1.3,6,44.9,19.3,35.8,0.1,2.3,23.8,3.3,2.7,37.1,0.2,0.1,Moderately alkaline
1249,0.7,6.7,1.1,7,26.2,13.3,28.7,30.12,1.5,7.5,5.7,1.1,18.1,0.2,0.1,Strongly alkaline
1252,0.3,5.7,1.3,26.4,40.2,30.7,29.1,0.1,2.7,19.5,4.4,0.1,57.9,0,0,Moderately acidic
1253,0.3,2.2,1.5,25.2,67.5,11.1,20.5,0.1,0.3,0,0.7,1.4,1.5,2.7,0.9,Strongly acidic
1254,0.4,6.7,1.1,6.1,49.5,23.1,26.5,0.1,1.2,12.1,0.5,0.7,1.7,0.1,0.4,Strongly alkaline
1255,0.1,1.2,1.5,34.3,54.2,27.1,17.8,0.3,1.1,11.8,6.4,0.3,36.2,0,0,Moderately acidic
1256,0.6,2.6,1.3,7.1,18,36,46,0.1,0.9,10.2,1.3,0.1,14.1,0,0,Moderately alkaline
1257,0.3,1.1,1.5,3.1,14.8,25.3,60,0.2,3.4,24.1,16.6,2.5,36.3,0.1,0.1,Strongly alkaline
11.6,1.3,2.6,1.3,47.5,8.2,42,49.8,30.12,2.7,25.1,6.4,0.6,10.1,0,0.1,Neutral
12.6,1.6,3.2,1.4,156.6,62.8,15.1,21.2,0.1,0.5,26.3,1.6,0.1,5.9,0,0,Strongly alkaline
1261,0.2,0.8,1.4,27.9,40,43.3,16.7,0.2,0.3,1.5,0.5,0.1,5.3,0.1,0,Strongly acidic
1262,0.2,31.12,1.5,33.8,21.5,10,68.5,0.3,0.4,30.12,1.6,5.3,6.5,4.7,0.8,Neutral
1263,0.1,4.5,1.3,67.5,26.2,24.2,17.8,0.2,1.2,54.2,3,0.9,27.7,0,0,Moderately alkaline
1266,0.1,7.2,1.2,28.8,24.2,17.3,58.5,0.1,1.1,14.8,3.1,30.12,26.7,0,0,Neutral
1267,0.5,7.1,1.3,70.5,65.5,11.3,23.2,0.1,0.7,14.8,0.8,30.12,5.3,0,0,Strongly alkaline
1268,0.3,4.7,1.3,62.4,20.2,40.7,39.1,0.1,31.12,17.5,1.9,0,58.7,0,0,Moderately acidic
1269,0.3,14.8,0.8,30.12,30.8,34.7,34.5,0.1,1.5,18.8,8.8,1.1,23.7,0.1,0,Moderately alkaline
1271,0.1,2.7,1.1,1,54.2,25.1,19.8,0.3,5.5,5.5,14.1,9.8,24.6,0.9,0.4,Strongly alkaline
1272,0.4,3.2,1.2,NA,66.2,11.1,21.8,0.1,0.6,3.8,1.1,30.12,4.6,0,0,Moderately acidic
1273,0.4,2.7,1.3,7,22,22,56,0.1,1.1,35.7,10.9,3.7,61.8,0.1,0.1,Moderately alkaline
1274,0.5,2.4,1.3,12.1,16.2,50,33.8,0.1,1.7,35.3,4.1,1.5,21.1,0.1,0.1,Moderately alkaline
1275,0.4,0.5,1.3,NA,46.2,21.1,31.8,0.1,0.6,4.8,2.3,0.3,6.2,0.1,0,Moderately acidic
1276,0.4,1.6,1.3,21,37.5,36.7,25.8,0.1,0.5,9.9,2.7,0.6,19.1,0.1,0,Moderately acidic
1277,0.9,1.6,1.3,62.6,28.2,30.7,41.1,0.1,5,16.2,3.3,0.3,28.1,0,0,Moderately alkaline
1278,0.3,3.7,1.4,18.9,41.5,28.7,29.8,0.1,1.5,42.7,4.8,0.4,19.6,0,0,Moderately alkaline
1279,0.2,1.3,1.4,NA,68.2,13.1,17.8,0.1,31.12,4.9,2.5,30.12,6.6,0,0,Moderately acidic
1280,0.5,1.8,1.4,5.2,50.2,31.1,17.8,0.1,3.6,15.2,2.7,0.6,20.2,0.1,0,Strongly alkaline
1281,0.2,1.6,1.3,6.1,20.8,32,47.2,0.1,0.3,22.7,11,0.9,45,0.1,0,Moderately alkaline
1282,0.7,1.9,31.12,12.9,4.2,22,73.8,0.1,1.2,11.2,8.8,3.3,46.7,0.1,0.1,Moderately alkaline
1284,0.2,31.12,1.6,3.1,12.2,26,61.8,0.1,31.12,3.2,6.3,0.6,27.8,0.1,0,Neutral
1289,0.4,6.1,1.3,70.5,34.2,36.7,29.1,0.1,3.2,47.3,1.5,0.5,22,0,0,Moderately alkaline
1290,0.3,5.5,1.3,12.1,21.5,40.7,37.8,0.1,2.3,20.6,1.6,22.9,34.4,1.6,0.7,Strongly alkaline
1294,0.5,5.9,1.1,32.9,46.2,31.1,21.8,0.1,0.7,3.2,1.2,0.1,4.4,0,0,Neutral
1295,0.4,1.4,1.2,7,74.8,13.1,11.2,0.1,0.3,5.4,2.4,0.2,16.2,0,0,Neutral
1296,31.12,2.4,1.3,33.8,33.5,6.2,28.5,0.4,0.8,30.12,1.1,1.7,2.7,2.1,0.6,Moderately acidic
1299,0.4,3.7,1.2,12.6,52.2,23.1,23.8,0.1,1.5,19.9,5.7,2.2,21.5,0.2,0.1,Moderately alkaline
23.7,1.6,3.9,1.3,65,58.2,21.1,19.8,0.3,0.8,48.9,1.4,0.8,26.5,0,0,Moderately alkaline
1301,0.1,31.12,1.3,4,36.2,31.1,31.8,0.1,0.9,2.3,3.3,0.2,35.2,0.1,0,Neutral
1302,0.2,31.12,1.3,2.1,18.2,14,67.8,0.1,2.4,5.4,3.9,0.3,43.4,0.1,0,Moderately alkaline
1304,0.1,1.3,1.4,31.12,12.2,36,51.8,0.1,1.1,2.8,6.8,0.2,16,0,0,Moderately acidic
1305,0.2,1.3,1.4,4.1,24.2,42.7,33.1,0.1,1.3,6.8,5.8,2.2,16.5,0.3,0.1,Strongly acidic
1306,0.1,1.3,1.3,1.1,11.5,7.3,81.2,0.2,1.5,19.7,6.2,1.1,39.4,0.1,0,Moderately acidic
1307,0.3,3.6,1.1,10.1,13.5,30.7,55.8,0.1,2.1,10.2,7.6,1,53.1,0,0,Moderately alkaline
1311,0.1,4.1,1.3,69.5,16.2,28.7,55.1,30.12,3.4,21.2,2.2,0.2,17.9,0,0,Moderately alkaline
1312,0.6,5.5,1.3,2,60.9,15.1,23.1,0.1,0.2,2.4,14.1,1.2,33.4,0.1,0,Neutral
1315,0.3,17.4,0.9,3.1,21.5,18,60.5,0.2,0.4,75.1,3.1,0.1,40.3,0,0,Moderately alkaline
1316,0.2,1.9,1.2,0,41.5,2.2,24.5,0.1,1.5,38.6,11.2,1.3,26.3,0,0.1,Moderately alkaline
1317,0.6,2.3,1.2,17.1,61.5,25.1,12.5,0.1,0.1,14.2,14.4,30.12,6.7,0,0,Moderately alkaline
1318,0.5,2.1,1.3,34.2,18.2,16,65.8,0.2,0.7,6.9,2.2,0.5,21.8,0.1,0,Moderately acidic
1319,0.4,31.12,1.5,10.1,40.2,20,39.8,0.1,1.4,42.2,4.7,1.1,25.2,0,0,Moderately alkaline
12.8,1.8,9,31.12,8.1,40,28,32,0.1,0.8,23.4,5.5,6.3,4.3,0.4,1.5,Strongly alkaline
13.8,1.1,31.12,1.2,20.1,73.5,18.7,7.8,0,0.8,18.1,3,0.5,15.2,0,0,Moderately alkaline
14.8,1.3,2.9,1.1,17.1,48.2,31.1,19.8,0,0.2,5.1,1.1,1.5,10.9,0.4,0.1,Moderately acidic
1323,0.7,2.2,1.3,28.2,32.9,26,41.1,0.3,0.9,1.5,1.3,30.12,10.2,0,0,Moderately acidic
1325,0.1,1.6,1.4,13.9,7.5,60.7,31.8,30.12,1.2,32.8,6.5,5.1,25.3,0.2,0.2,Moderately alkaline
1326,0.3,2.1,1.4,1.1,20.9,30,49.1,0.3,0.8,1.1,3.8,30.12,12.8,0,0,Moderately acidic
1327,0.4,2.2,1.3,1.1,22.9,17.3,59.8,0.1,1.3,3.9,9.4,0.6,27.2,0.1,0,Neutral
1328,0.3,2.4,1.2,6,48.9,19.3,31.8,0.1,4.5,52.2,12.5,1,43.9,0,0,Moderately alkaline
1330,0.4,7.8,1.3,2,34.9,27.3,37.8,0.1,0.8,2.6,5.8,0.4,9.2,0.1,0,Neutral
1331,0.3,4.7,1.3,1.1,29.5,15.3,55.2,0.1,0.1,20.9,6.4,0.2,29.1,0,0,Moderately acidic
1336,0.2,2.2,1.3,37.2,44.2,27.1,27.8,0.2,1.4,8.9,4.4,0.7,28.6,0.1,0,Strongly acidic
29.8,1.4,10.8,0.7,17.1,54.2,23.1,21.8,0.1,0.1,10.9,1,0.1,14.5,0,0,Strongly acidic
1338,0.5,2.4,1.1,4.3,54.9,13.1,31.1,0.1,1.4,45.2,6.6,30.12,30.3,0,0,Moderately alkaline
1340,0.3,1.3,1.3,15.2,46.2,24.7,29.1,0.1,0.4,17.4,6.1,0.2,12.6,0,0,Moderately alkaline
1343,0.2,1.5,1.3,11.1,58.2,11.1,29.8,0.1,0.6,7.8,6.3,0,9,0,0,Moderately acidic
1344,0.1,31.12,1.4,10.9,22.2,30,47.8,0.1,2.7,54.9,2.1,3.9,17.8,0.1,0.2,Moderately alkaline
1345,0.6,2.4,1.3,3.1,11.5,42,46.5,0.2,0.8,15.7,1.7,0.1,15.9,0,0,Moderately alkaline
1346,0.5,4.2,1.1,20.1,63.5,26.7,9.8,0.1,0.8,13.2,4.7,1.1,62,0.1,0,Strongly acidic
1347,0.1,1.9,1.2,1.1,18.2,17.3,64.5,0.1,1.8,11.3,2.7,0,32.3,0,0,Moderately acidic
1348,0.3,1.9,1.1,2,63.5,21.1,14.5,0.1,0.4,1.9,1.1,0.2,4,0.1,0,Moderately acidic
1350,0.3,4.7,1.3,3.1,9.5,44,46.5,0.3,0.6,15.8,2.1,0.1,15.5,0,0,Moderately alkaline
1351,0.3,4.7,1.3,0,46.8,30.7,22.5,0.1,2.2,37.6,2.7,0.3,16.7,0,0,Moderately alkaline
1352,0.4,0.6,1.3,1.1,17.5,21.3,61.2,0.1,1.9,11.8,11.2,0.7,32,0.1,0,Neutral
1354,0.4,2.4,1.3,30.12,20.2,13.3,66.5,0.1,2.3,28.3,6.9,0,50,0,0,Moderately acidic
1355,0.6,2.1,1.2,21.4,11.5,26,62.5,0.1,0.5,21.7,12,0.4,29.4,0,0,Neutral
1356,0.7,1.8,1.3,6.4,16.2,18,65.8,30.12,1.3,25.3,11.5,0.2,76.3,0,0,Moderately alkaline
1357,0.1,1.6,1.3,NA,66.2,17.1,15.8,0.1,0.8,4.2,3.2,30.12,5.2,0,0,Moderately acidic
1358,0.5,1.8,1.2,2,47.5,25.3,27.2,0.2,0.5,6.1,1.4,30.12,10.4,0,0,Strongly acidic
1359,0.9,2.9,1.2,40.7,11.5,28,60.5,0.1,0.2,30.12,1.2,5.1,5.7,5.9,0.9,Moderately alkaline
21.9,1.2,3.4,1.1,30,60.2,24.7,15.1,0.1,0.8,6.5,0.8,0.1,10.4,0,0,Moderately acidic
1361,0.4,2.3,1.3,53.6,7.1,20.7,71.2,0.2,1,88.1,4.7,2.9,75.7,0,0,Moderately alkaline
24.9,1.6,3.2,1.1,314.7,76.2,7.1,15.8,0.1,1.2,14.2,3.7,31.12,15.6,0.1,0.1,Moderately alkaline
1364,0.9,10.2,1,857.1,18.2,32.7,49.1,0.2,1.1,2.2,4.3,0.2,27,0,0,Moderately alkaline
27.9,1.6,5.1,1.1,14.1,27.5,21.3,51.2,0.4,0.5,41.1,4,0.1,57.7,0,0,Neutral
1367,0.8,3.8,1.3,25.2,59.5,17.1,22.5,0.1,0.1,0.1,1.1,1.5,2,2,0.8,Strongly acidic
1368,0.4,31.12,1.6,5.5,32.2,42.7,25.1,0.1,1.1,11.8,4.1,0.3,19.6,0,0,Moderately acidic
1370,0.4,1.9,1.2,8.1,21.5,17.3,61.2,0.1,1.5,17.4,2.9,1.4,22.6,0.1,0.1,Moderately alkaline
1371,0.2,1.6,1.3,4,50.8,23.1,25.2,0.1,0.8,3.3,2.8,0.5,12.7,0.2,0,Moderately acidic
1372,0.2,1.3,1.2,3.1,12.2,24,63.8,0.1,2.2,3.7,1.9,5.3,26.4,1.8,0.2,Moderately alkaline
1373,0.1,31.12,1.4,11.9,30.2,26,43.8,0.1,2,39.3,1.8,0.7,24.4,0,0,Moderately alkaline
1375,0.5,5.5,1.3,0,66.2,17.1,15.8,0.1,0.7,16.2,1.7,0.2,5.2,0,0,Moderately alkaline
1376,0.2,3.2,1.3,80.5,56.9,11.8,31.2,0.1,0.6,32.5,0.7,0.4,19.7,0,0,Strongly alkaline
1378,0.4,2.3,1.4,0,54.9,19.3,25.8,0.1,0.4,2.9,4.9,30.12,9.8,0,0,Moderately alkaline
1379,0.5,3.1,1.3,30.12,17.5,26,56.5,0.2,0.3,22.9,7.4,1.5,47.1,0.1,0,Moderately alkaline
1381,0.4,3.6,1.3,3.1,16.2,22,61.8,0.1,1.6,3.1,4.2,0.2,29,0.1,0,Neutral
1383,0.3,10.7,1,30.12,31.5,16,52.5,0.1,0.8,4.6,2.9,0.3,50.7,0.1,0,Strongly alkaline
1386,0.2,1.9,1.4,45.9,21.5,15.3,63.2,0.1,0.6,53.7,10.2,0.7,70.8,0,0,Neutral
1387,0.5,1.6,1.4,8.4,48,24,28,0.1,31.12,10.7,2.4,1.3,27.5,0.2,0,Moderately acidic
1388,31.12,3.7,1.1,0,49.5,25.1,24.5,0.1,0.8,12.6,4.6,0.6,16.7,0.1,0,Moderately alkaline
1389,0.1,31.12,1.5,9.1,32.8,24,43.2,0.1,0.5,2.2,5.9,2.1,45,0.1,0,Moderately alkaline
1390,0.6,2.4,1.3,50.5,21.1,28.7,49.2,0.2,0.6,68.2,1.4,0.6,44.2,0,0,Moderately alkaline
1391,0.6,1.5,1.3,2.1,24.2,17.3,58.5,0.1,1,35.2,5.4,0.1,63.7,0,0,Neutral
1393,0.2,1.3,1.4,2,61.5,9.1,28.5,0.1,0.2,0.2,2.3,2.3,4.1,1.4,0.6,Neutral
1394,0.2,1.6,1.3,3.1,20.2,20,59.8,0.1,1.2,3.1,4.8,0.6,29.4,0.2,0,Neutral
1395,0.2,1.9,1.3,2,43.5,14,42.5,0.1,0.8,0.6,1.4,2.2,4.1,2,0.5,Neutral
1396,0.2,1.9,1.1,NA,56.2,23.1,19.8,0.1,1.1,4.8,3,30.12,6.6,0,0,Moderately acidic
1397,0.2,1.9,1.3,6,62.2,12.7,25.1,0.1,31.12,12.3,7,0.5,14.2,0.1,0,Strongly alkaline
1401,0.6,4.4,1.3,0,33.5,44.7,21.8,0.1,1.2,36.2,1.8,1.1,19.4,0,0.1,Moderately alkaline
1402,0.6,3.6,1.3,30.12,16.2,9.3,74.5,0.1,0.9,36.5,8.1,0.1,64.4,0,0,Moderately acidic
1403,0.3,3.8,1.2,31.4,16.8,22,61.2,0.3,0.5,32.8,9.9,0.8,58.3,0,0,Moderately acidic
1405,0.6,4.1,1.3,NA,64.2,17.1,17.8,0,0.8,11.8,3.6,0,10,0,0,Moderately alkaline
1406,0.6,5.4,1.1,30.12,18.2,15.3,66.5,0.1,1.4,63.1,13.4,0.1,73.2,0,0,Moderately alkaline
1407,0.4,4.1,1.3,NA,56.2,13.1,29.8,0.1,1.5,3.1,3.4,30.12,7.8,0,0,Moderately acidic
1408,0.2,3.5,1.2,NA,70.2,15.1,13.8,0.1,0.5,2.1,2.3,30.12,4.6,0,0,Moderately acidic
1409,0.4,2.3,1.1,NA,46.2,16,37.8,0.1,0.8,3.2,2.9,30.12,6.4,0,0,Strongly acidic
1410,0.6,2.6,1.2,NA,68.2,15.1,15.8,0.1,0.8,3.6,0.6,30.12,4.6,0,0,Moderately acidic
1411,0.9,1.2,1.2,NA,78.2,9.1,11.8,0,0.5,1.5,2.1,30.12,2.8,0,0,Strongly acidic
1412,0.6,7.3,1,NA,12.2,8,79.8,0.1,3.2,21.1,11.6,0.9,32.2,0.1,0,Neutral
1413,0.8,5.1,1.1,50.3,28.9,31.3,39.8,0.1,1.7,13.9,4.4,0.8,24.7,0.1,0,Neutral
1415,0.2,2.9,1.4,442.9,34.2,36.7,29.1,0.1,1.6,43,0.9,1.3,13.3,0,0.1,Moderately alkaline
1416,0.7,4.2,1.5,14.1,50.9,27.3,21.8,0.2,0.1,8.9,1.1,1.1,15.2,0.2,0.1,Moderately acidic
1417,0.2,5.1,1.5,0,36.2,8.2,23.8,0,0.6,26.4,8.2,0.4,15.2,0,0,Moderately alkaline
1418,0.3,1.6,1.3,6,60.2,18.7,21.1,0.1,1.2,23.5,1.4,2.8,15.6,0.2,0.2,Strongly alkaline
1419,0.3,1.3,1.2,0,46.2,31.1,21.8,0.1,0.8,24.3,5.1,0.5,11,0,0,Moderately alkaline
1423,0.5,4.9,1.3,0,74.9,9.3,15.8,0.1,0.5,2.2,2,30.12,4.6,0,0,Moderately acidic
1424,0.6,4.6,1.3,1.1,23.5,30,46.5,0.1,0.4,30.12,6.1,2.3,7.9,0.5,0.3,Moderately acidic
1426,0.4,4.1,1.3,1.1,28.2,14,57.8,0.1,0.1,10.7,1.9,0.1,20.9,0,0,Strongly acidic
1427,0.4,4.4,1.3,1,71.5,17.1,10.5,0,0.4,4.1,3.3,0.3,8.1,0.1,0,Neutral
1428,0.4,3.6,1.4,2.9,24.9,27.3,47.8,0.1,1.1,14.3,5.2,0.8,28.3,0.1,0,Moderately acidic
1429,0.7,3.6,1.3,7.8,24.2,19.3,24.7,30.12,1.6,9,4.1,1.1,23.1,0.2,0,Strongly alkaline
1430,0.1,2.9,1.3,3.1,24.2,26,49.8,0.2,0.9,2.9,0.3,0.8,24.2,0.4,0,Moderately alkaline
1432,0.2,0.4,1,0,58.9,19.3,21.8,0.1,0.4,2.4,4,30.12,8.8,0,0,Moderately acidic
1433,0.3,4.6,1.4,10.1,38.2,16,45.8,0.1,1.2,50.3,5.9,1.9,32.8,0.1,0.1,Moderately alkaline
1434,0.2,2.3,1.2,1,34.2,4.2,29.8,0.2,1.8,33.1,26.2,2.1,39.6,0.1,0.1,Moderately alkaline
5.12,1.4,3.7,1.1,58.4,46.2,28.7,25.1,0.1,2.2,47.3,3,0,35.9,0,0,Moderately alkaline
1436,0.4,1.5,1.3,6.4,22.2,18,59.8,0.1,1,57.3,8.1,0.5,59.1,0,0,Moderately alkaline
1439,0.5,5.8,0.8,10.4,18.8,28,53.2,0.2,5.4,29.3,1.6,0.1,18.1,0,0,Strongly alkaline
1440,0.2,3.5,1.1,20.1,57.5,24.7,17.8,0.4,0.1,3.8,0.7,0.6,46.6,0.2,0,Moderately acidic
1443,31.12,4.3,1.1,56.4,7.1,24.7,67.2,0.2,1.1,67.3,3.5,0.9,72.4,0,0,Strongly alkaline
14.12,1.4,4.6,1,90.6,18,22,60,0.2,0.4,13.7,9.1,1.8,44.7,0.2,0,Neutral
1445,0.5,31.12,1.2,8.1,19.5,25.3,55.2,0.1,1.6,10.7,1.8,0.6,17.8,0.1,0,Moderately alkaline
1446,0.3,4.1,1.3,0,77.5,5.1,16.5,0.1,0.1,4.2,1.2,0.1,4.9,0,0,Neutral
1447,0.5,4.2,1.3,4,37.5,22,40.5,0.1,2.5,5.4,1.3,4.2,19.1,1.1,0.2,Strongly alkaline
1448,0.5,1.6,1.3,5,36.2,32.7,31.1,0,0.8,8.8,5.1,0.5,21.8,0.1,0,Moderately acidic
19.12,1.8,4.8,1.1,8.1,71.5,7.3,21.2,0.1,1.1,4.6,0.1,30.12,9.2,0,0,Moderately alkaline
1450,0.4,1.9,1.3,2,55.5,13.3,31.2,0.3,0.1,21.6,3.1,2.5,23.7,0.2,0.1,Moderately alkaline
1453,0.4,5.2,1.3,1.1,20.2,11.3,68.5,0.1,2.5,21.3,5.9,0.1,44.1,0,0,Moderately acidic
1454,0.3,3.8,1.5,2,47.5,29.1,22.5,0.1,1.2,18.8,8,0.1,11.2,0,0,Moderately alkaline
1455,0.5,4.6,1.6,2.9,22.9,27.3,49.8,0.1,0.6,17.2,5.7,0.9,39.9,0.1,0,Strongly acidic
1456,0.4,3.6,1.6,5.9,42.2,36.7,21.1,0.1,1.1,13.8,2.8,30.12,14.6,0,0,Moderately alkaline
1458,0.4,4.6,1.6,6.9,54.9,23.8,21.2,0.1,1.7,11.6,3.2,0.5,23.1,0.1,0,Moderately acidic
1459,0.4,5.1,1.6,3.9,27.5,10.2,30.5,0.1,1,0.4,6.1,3.1,10.7,0.9,0.4,Moderately alkaline
1460,0.6,7.9,1.4,2.9,18.9,21.3,59.8,0.2,0.7,24.4,12.7,0.5,60.4,0,0,Moderately acidic
1464,0.1,2.1,1.5,28.9,82.2,10.7,7.1,0,31.12,18.6,1.7,0.1,24.6,0,0,Neutral
1465,0.4,6.1,1.1,50.3,66.9,15.3,17.8,0.1,1.2,3.6,1.3,0.3,6,0.1,0,Moderately acidic
1466,0.8,8.2,1.1,20.1,35.5,20.7,43.8,0.3,0.4,6.5,2.1,1.3,7.6,0.3,0.2,Strongly acidic
1467,0.8,2.6,1.4,14.1,35.5,39.3,25.2,0.2,0.2,4.7,2.7,1.2,30.5,0.3,0,Moderately acidic
1468,0.7,2.3,1.1,11.1,38.2,26,35.8,0.1,0.8,8.9,4.2,0.8,13.2,0.1,0.1,Moderately acidic
8.1,1.8,3.2,1.2,442.9,57.5,19.3,23.2,0.1,0.6,3.8,0.3,30.12,6.8,0,0,Moderately acidic
1470,0.4,2.1,1.4,13.1,10.2,16,73.8,30.12,1.2,44.6,12.1,3.8,42.8,0.1,0.1,Moderately alkaline
10.1,1.4,5.4,1.4,10.1,38.2,16,45.8,0.1,1.3,48.6,5.3,0,36.6,0,0,Strongly alkaline
11.1,1.9,2.9,1.2,80.5,33.5,28.6,38,0.2,0.6,41.1,1,0.1,8.7,0,0,Moderately alkaline
1475,0.3,5.1,1.2,1.5,12.9,22,65.1,0.2,0.3,1.4,11.5,0.2,14,0,0,Neutral
1476,0.4,3.1,1.1,25.2,51.5,19.1,28.5,0.1,0.4,0.1,1.6,1.7,2.8,1.5,0.6,Strongly acidic
1477,0.8,7.9,31.12,13.1,6.2,18,75.8,0.1,1.2,45.5,9.6,2.6,36.5,0.1,0.1,Strongly alkaline
1478,0.4,2.3,1.4,60.4,22.2,38.7,39.1,0.1,4.5,53.5,2.9,0.1,29.4,0,0,Moderately alkaline
1480,0.2,3.2,1.3,31.12,28.2,30,41.8,0.4,2.7,3.5,19.3,4.9,27.6,0.4,0.2,Strongly alkaline
1481,0.8,3.5,1.2,11.1,44.2,16,39.8,0.1,1.4,17.3,3.4,0.6,16.4,0,0,Moderately alkaline
1482,0.2,2.7,1.4,0,37.5,14,48.5,0.1,0.6,18.1,6.6,30.12,25.3,0,0,Moderately acidic
1483,0.4,2.7,1.4,32.8,12.8,24,63.2,0.2,2.4,37.5,22.8,1.8,69.3,0.1,0,Neutral
1484,0.3,31.12,1.8,13.9,25.5,18.2,24.5,0,0.9,34.5,5.2,1.6,20.8,0.1,0.1,Strongly alkaline
1485,0.4,1.6,1.4,1.1,15.5,34,50.5,0.1,1.7,33.3,11,1,31.4,0,0,Moderately alkaline
1486,0.2,1.6,1.3,10.9,33.5,32,34.5,0.2,1.1,3.2,1.6,30.12,17.7,0,0,Strongly alkaline
26.1,1.2,2.4,1.1,2.1,26.2,18,55.8,0.1,1.6,4.4,7.3,0.7,19.2,0.1,0,Neutral
1488,0.2,2.2,1.2,1,61.5,25.1,12.5,0.1,0.7,36.4,11.3,0.9,17.8,0,0.1,Strongly alkaline
1492,0.5,7.9,1.4,3.9,16.2,13.3,70.5,0.1,2.6,20.9,4.8,0.1,30.3,0,0,Moderately alkaline
1494,0.8,5.2,1.4,4.9,6.9,37.8,55.2,0.2,1.7,53.7,8.2,0.8,52.4,0,0,Moderately alkaline
1495,0.5,3.6,1.4,4.9,6.9,25.3,67.8,0.2,1.3,67.8,8.5,2.9,80.2,0.1,0,Strongly alkaline
1496,0.4,4.1,1.3,2.9,16.8,24,59.2,0.2,2.6,25.4,11.1,3.1,47.8,0.2,0.1,Moderately acidic
1497,0.5,5.9,1.1,99.7,54.2,18.7,27.1,0.1,1.4,16.4,1.3,30.12,11.6,0,0,Moderately alkaline
7.2,1.2,1.1,1.3,3.1,13.5,26,60.5,0.2,2.8,4.2,0.4,0.1,32.8,0,0,Moderately alkaline
1500,0.9,3.5,1.1,1,64.2,21.1,13.8,0.1,0.6,5.3,3.6,0.1,6.8,0,0,Neutral
1501,0.2,1.7,1.4,23.2,51.5,29.1,18.5,0.2,0.7,0,31.12,1.6,2.3,2.3,0.7,Moderately acidic
1502,31.12,1.8,1.3,80.5,24.2,36.7,39.1,0.2,1.6,18.3,2.3,30.12,20.6,0,0,Moderately alkaline
1503,0.8,2.3,1.3,463.1,48.2,25.1,25.8,0.1,1.1,37.1,1.9,0.6,17.8,0,0,Moderately alkaline
1504,0.1,0.4,1.3,52.3,11.1,28.7,59.2,0.2,0.3,15.3,1.1,0.4,76.6,0,0,Moderately alkaline
1506,31.12,3.7,1.1,54.5,34.2,8.2,25.8,0.1,0.8,5.6,0.6,0.2,8.6,0,0,Strongly acidic
15.2,1.8,4.9,1.2,444.4,52.2,24.7,23.1,0.2,1.2,14.7,1.2,0.1,7.6,0,0,Moderately alkaline
1508,0.8,3.9,1.3,454.5,46.2,21.1,31.8,0.1,1.9,46.2,1.7,0.5,29.2,0,0,Moderately alkaline
1509,0.6,3.4,1.1,80.8,50.9,23.8,25.2,0.2,1.3,56.1,2,0.7,33.1,0,0,Moderately alkaline
1510,0.3,31.12,1.3,0,53.5,14,32.5,0.1,0.3,9.4,7.8,0.5,19.7,0.1,0,Neutral
19.2,1.4,10.5,1,261.7,14.2,34.7,51.1,0,3,54.5,1.4,0.4,31,0,0,Moderately alkaline
20.2,1.3,2.7,1.3,27.8,50.8,27.1,21.2,0.2,1.3,6.1,1.2,1.3,32.1,0.3,0,Moderately acidic
1513,0.9,2.2,1.5,5.1,10.8,26,63.2,0.2,1,38.6,2,0.1,8.9,0,0,Strongly alkaline
1514,0.2,1.9,1.3,3.1,11.5,22,66.5,0.1,1.3,3.6,4.6,0.4,25,0.1,0,Neutral
1515,0.5,1.3,1.7,1.1,27.5,24,48.5,0.1,5.1,26.6,14.4,29.4,32.6,1.4,0.9,Strongly alkaline
1517,0.4,1.6,1,30.12,28.2,16.2,23.8,0.1,4.5,15.4,6.3,0.4,14.6,0,0,Moderately alkaline
1518,0.3,1.6,1.3,30.12,26.2,18,55.8,0.1,0.6,15.2,14.1,0.3,28.6,0,0,Moderately acidic
1519,0.4,2.4,1.2,30.12,28.2,10.2,29.8,0.1,0.4,14.3,3.8,0.1,12.4,0,0,Moderately acidic
1521,0.2,2.3,1.3,22.1,28.2,44.7,27.1,0.1,2.5,13.2,5.7,0.1,28.4,0,0,Neutral
1522,0.4,2.3,1.2,18.1,26.9,36,37.1,0.1,0.4,12.5,3.6,0.3,21.5,0,0,Strongly acidic
1523,0.5,2.3,1.3,58.4,22.2,44.7,33.1,0.1,2.2,73.6,5.4,0.1,24.4,0,0,Moderately alkaline
1526,0.4,4.1,1.3,2.9,30.9,19.3,49.8,0.1,0.8,3.1,6.1,0.2,13,0,0,Moderately acidic
1527,0.5,3.8,1.3,7.8,24.2,25.3,18.7,0.1,1.4,8.8,5.8,1.5,9.1,0.2,0.2,Strongly alkaline
1528,0.4,3.1,1.3,2.9,26.9,27.3,45.8,0.1,0.8,3.9,8.3,1.6,25.6,0.2,0.1,Moderately alkaline
1529,0.1,5.9,1.3,0,49.5,10,40.5,0.1,0.1,37.8,20.3,0.5,61,0,0,Moderately acidic
