ID,EC,OM,BD,P,SAND,SILT,CLAY,N,K,Ca,Mg,Na,CEC,SAR,ESP,Class.pH
167,0.4,2.3,1.4,43.1,38.2,31.1,29.8,0.1,2.2,16.6,3.5,0.8,20,0.1,0,Neutral
168,0.4,1.4,1.3,1.1,14.9,15.3,69.8,0.1,0.4,5.1,32.1,1,41.6,0,0,Moderately alkaline
18.6,1.1,2.9,1.2,8.2,30.8,40,29.2,0.1,2.1,10.7,7.7,3.4,23.2,0.4,0.1,Moderately alkaline
171,31.12,2.3,1.4,19.9,38.2,2.2,27.8,0.2,0.4,2.8,1.3,30.12,3.3,0,0,Strongly acidic
173,0.3,0.3,1.3,2,42.2,8,49.8,0.2,0.5,2.5,0.9,30.12,3.2,0,0,Strongly acidic
176,0.3,1.2,1.4,27.3,55.5,19.1,24.5,0.1,0.4,30.12,1.5,1.7,2.7,1.6,0.6,Moderately acidic
177,0.8,2.4,1.6,16.8,62.2,12.7,25.1,0.1,0.3,4.2,0.9,0.2,8.8,0.1,0,Neutral
179,0.4,0.5,1.3,0,48.2,31.1,19.8,0.1,0.7,29.5,18.2,0.3,12.6,0,0,Neutral
180,0.6,2.2,1.3,8.1,48.2,30.7,21.1,0.1,0.7,72.2,8.4,11.6,17.1,0.2,0.7,Moderately alkaline
183,0.6,2.8,1.3,41.2,38.2,28,33.8,0.1,1.8,48.7,29.3,2.3,63.2,0.1,0,Moderately acidic
2.7,1.1,4.1,1.2,45.1,60.9,19.1,19.1,0.1,1.3,4.2,1.1,30.12,9.2,0,0,Neutral
186,0.4,1.6,1.4,2,32.2,16,51.8,0.5,1.1,3.5,1.6,0.4,19.8,0.1,0,Neutral
187,0.7,2.7,1.3,NA,26.2,32,41.8,0.1,0.7,18.8,18.2,1.4,58.6,0.1,0,Neutral
195,31.12,1.6,1.3,20.3,54.2,31.1,13.8,0.2,0.8,0,0.7,1.8,2.5,3.6,0.7,Moderately acidic
196,0.4,0.8,1.5,18.1,25.5,12.3,2.5,0.1,0.4,67.9,3.2,0.9,71.1,0,0,Neutral
202,0.5,1.1,1.5,NA,22.2,28,49.8,0.1,31.12,16.5,24.7,0.8,63.5,0,0,Neutral
203,0.3,1.1,1.6,27.2,54.8,25.3,20,0.1,0.9,11.9,27.6,30.12,17.1,0,0,Moderately alkaline
206,0.3,2.1,1.3,4.1,20.9,19.3,59.8,0.2,1.6,92.4,6.1,1.4,100.3,0,0,Moderately alkaline
207,0.4,2.5,1.4,2,2.2,28.7,37.2,0.2,1.4,16.2,3.2,2.7,22.1,0.2,0.1,Strongly alkaline
208,0.4,3.8,1.3,NA,56.2,27.1,15.8,0.1,0.7,4.1,2.1,0.7,15.7,0.2,0,Moderately acidic
211,3.1,1.4,1.3,14.2,16.9,50,33.1,0.2,0.2,3.9,1.7,0.4,11.4,0.1,0,Moderately acidic
212,0.3,1.3,1.7,11.1,28.2,20,51.8,0.1,1.4,25.7,9.5,1.1,25.4,0.1,0,Neutral
213,0.3,1.4,1.4,2,31.1,28.7,39.2,0.2,1.1,21.9,4.4,2.9,30.1,0.2,0.1,Moderately alkaline
215,0.5,2.9,1.1,10.3,19.5,28,52.5,0.2,31.12,5.6,1,30.12,5.5,0,0,Strongly alkaline
218,0.3,0.8,1.6,21.1,60.2,21.1,17.8,0.1,0.6,30.12,1.9,1.9,3.5,1.4,0.5,Moderately acidic
219,31.12,2.2,1.6,10.1,28.2,36,35.8,0.1,2.4,6.2,5.8,0.6,40.6,0,0,Moderately alkaline
221,4.1,1.4,1.3,6.1,27.5,40,32.5,0.1,0.6,4.1,0.3,30.12,5.2,0,0,Moderately alkaline
222,0.7,0.8,1.3,6.1,56.2,19.1,23.8,0.1,1.8,9.3,2.8,0.2,14.4,0,0,Moderately acidic
10.8,7.3,1.9,1.3,0,38.2,8.2,21.8,0.1,0.6,30.4,0.8,0.5,14.4,0,0,Moderately alkaline
224,0.3,3.1,1.3,37.3,26.2,20,53.8,0.2,1.6,14.6,5.2,1,35.6,0.1,0,Moderately acidic
